sample_id,audio_path,overlap_level,source_index,separated_audio_path,start,end,speaker,text
sample2_no_overlap,no_overlap.wav,none,1,speaker_1.wav,0.0,5.12,SPEAKER1,"关于这次的产品架构升级,我已经重申过无数次了。"
sample2_no_overlap,no_overlap.wav,none,1,speaker_1.wav,6.88,10.9,SPEAKER1,"市场留给我们的时间窗口,最多只剩两周。"
sample2_no_overlap,no_overlap.wav,none,1,speaker_1.wav,11.6,19.26,SPEAKER1,"我们必须砍掉那些华而不实的人情化设计,向自动化和高效率妥协。"
sample2_no_overlap,no_overlap.wav,none,1,speaker_1.wav,20.240000000000002,27.44,SPEAKER1,"你所谓的坚持情怀,在不断下滑的日活数据面前根本一文不值。"
sample2_no_overlap,no_overlap.wav,none,1,speaker_1.wav,27.44,30.82,SPEAKER1,用户要的是好用
sample2_no_overlap,no_overlap.wav,none,1,speaker_1.wav,30.82,32.94,SPEAKER1,解决问题
sample2_no_overlap,no_overlap.wav,none,1,speaker_1.wav,32.94,37.82,SPEAKER1,而不是对着一个功能去感悟什么设计者的灵魂
sample2_no_overlap,no_overlap.wav,none,1,speaker_1.wav,37.82,43.02,SPEAKER1,你不要再拿那些理想主义的借口来拖延进度了
sample2_no_overlap,no_overlap.wav,none,1,speaker_1.wav,43.02,45.68000000000001,SPEAKER1,商场就是战场
sample2_no_overlap,no_overlap.wav,none,1,speaker_1.wav,45.68000000000001,50.46,SPEAKER1,收起你那些同情心和艺术追求吧
sample2_no_overlap,no_overlap.wav,none,1,speaker_1.wav,51.1,54.56,SPEAKER1,下周一必须切断旧接口
sample2_no_overlap,no_overlap.wav,none,1,speaker_1.wav,54.56,58.120000000000005,SPEAKER1,所有人必须听我指挥
sample2_no_overlap,no_overlap.wav,none,1,speaker_1.wav,58.120000000000005,59.36,SPEAKER1,出了问题
sample2_no_overlap,no_overlap.wav,none,1,speaker_1.wav,59.36,61.14,SPEAKER1,我一个人来扛
sample2_no_overlap,no_overlap.wav,none,1,speaker_1.wav,61.14,64.26,SPEAKER1,你现在必须给我闭嘴
sample2_no_overlap,no_overlap.wav,none,1,speaker_1.wav,64.26,66.48,SPEAKER1,立刻执行命令
sample2_no_overlap,no_overlap.wav,none,1,speaker_1.wav,66.48,68.64,SPEAKER1,看到了数据吗
sample2_no_overlap,no_overlap.wav,none,1,speaker_1.wav,68.64,70.76,SPEAKER1,但你有没有想过
sample2_no_overlap,no_overlap.wav,none,1,speaker_1.wav,70.76,73.02000000000001,SPEAKER1,盲目追求速度的后果
sample2_no_overlap,no_overlap.wav,none,1,speaker_1.wav,73.02000000000001,76.38,SPEAKER1,就是失去我们最核心的忠实用户
sample2_no_overlap,no_overlap.wav,none,1,speaker_1.wav,76.38,79.46000000000001,SPEAKER1,这根本不是什么华而不实的情怀
sample2_no_overlap,no_overlap.wav,none,1,speaker_1.wav,79.68,82.7,SPEAKER1,这是我们品牌能活到今天的底层逻辑
sample2_no_overlap,no_overlap.wav,none,1,speaker_1.wav,82.7,85.72,SPEAKER1,是冰冷的算法永远给不了的温度
sample2_no_overlap,no_overlap.wav,none,1,speaker_1.wav,85.72,89.18,SPEAKER1,你每次都用这种粗暴的功利主义
sample2_no_overlap,no_overlap.wav,none,1,speaker_1.wav,89.18,90.46000000000001,SPEAKER1,来绑架整个团队
sample2_no_overlap,no_overlap.wav,none,1,speaker_1.wav,90.46000000000001,93.02000000000001,SPEAKER1,把大家没日没夜的心血
